Invoice_No,Invoice_Date,Supplier_GSTIN,Supplier_Name,Supplier_State,Invoice_Type,PO_Number,Item_Name,HSN_SAC,UOM,Quantity,Unit_Price,Taxable_Value,GST_Rate_%,CGST,SGST,IGST,Total_Amount,Payment_Mode,Branch_City,Match_Status,Reason,ITC_Eligible
MS/2509/01188,2025-09-14,29DDDDE4444D1Z1,CarePlus Pharma,29,B2B,PO/2509/3755,ORS Sachet,3004,pack,24,89,2136.0,5,53.4,53.4,0.0,2242.8,NEFT,Belagavi,Matched,,Yes
MS/2508/01189,2025-08-05,32KKKKK9999K1Z9,VitalCare Enterprises,32,B2B,PO/2508/8612,Gauze Bandage,3005,pack,3,35,105.0,5,0.0,0.0,5.25,110.25,Credit,Hubli,Matched,,Yes
MS/2512/01190,2025-12-01,33CCCCC3333C1Z2,HealthLine Supplies,33,B2B,PO/2512/5477,Paracetamol 500mg,3004,box,4,203,812.0,12,0.0,0.0,97.44,909.44,Credit,Hubli,Matched,,Yes
MS/2512/01191,2025-12-15,27HHHHH7777H1Z6,Sanjeevani Distributors,27,B2B,PO/2512/9361,Antacid Suspension,3004,bottle,41,124,5084.0,12,0.0,0.0,610.08,5694.08,Cash,Bangalore,Matched,,Yes
MS/2503/01192,2025-03-24,32KKKKK9999K1Z9,VitalCare Enterprises,32,B2B,PO/2503/2469,Multivitamin Capsules,2106,bottle,3,263,789.0,18,0.0,0.0,142.02,931.02,Card,Tumakuru,Matched,,Yes
MS/2503/01193,2025-03-04,33CCCCC3333C1Z2,HealthLine Supplies,33,B2B,PO/2503/4454,Calcium Tablets,3004,box,18,185,3330.0,12,0.0,0.0,399.6,3729.6,Credit,Belagavi,Matched,,Yes
MS/2506/01194,2025-06-12,24GGGGG6666G1Z4,Wellness Medicos,24,B2B,PO/2506/5029,Hand Sanitizer 500ml,3808,bottle,15,159,2385.0,18,0.0,0.0,429.3,2814.3,Cash,Hubli,Matched,,Yes
MS/2504/01195,2025-04-18,29IIIJJ8888I1Z3,Prime Pharma Hub,29,B2B,PO/2504/3190,Disposable Gloves,4015,box,22,128,2816.0,12,168.96,168.96,0.0,3153.92,UPI,Belagavi,Matched,,Yes
MS/2509/01196,2025-09-01,29AABCA1111A1Z5,Apex Pharma Distributors,29,B2B,PO/2509/7769,Paracetamol 500mg,3004,box,44,124,5456.0,12,327.36,327.36,0.0,6110.72,Credit,Tumakuru,Matched,,Yes
MS/2512/01197,2025-12-27,29IIIJJ8888I1Z3,Prime Pharma Hub,29,B2B,PO/2512/2270,Cough Syrup,3004,bottle,35,105,3675.0,12,220.5,220.5,0.0,4116.0,Credit,Bangalore,Matched,,Yes
MS/2512/01198,2025-12-10,29IIIJJ8888I1Z3,Prime Pharma Hub,29,B2B,PO/2512/6864,Vitamin C Tablets,2106,bottle,12,156,1872.0,18,168.48,168.48,0.0,2208.96,Card,Mysuru,Matched,,Yes
MS/2512/01199,2025-12-23,29AABCA1111A1Z5,Apex Pharma Distributors,29,B2B,PO/2512/4161,Vitamin C Tablets,2106,bottle,15,154,2310.0,18,207.9,207.9,0.0,2725.8,Card,Bangalore,Matched,,Yes
MS/2504/01200,2025-04-24,29AABCA1111A1Z5,Apex Pharma Distributors,29,B2B,PO/2504/2474,Hand Sanitizer 500ml,3808,bottle,12,139,1668.0,18,150.12,150.12,0.0,1968.24,Credit,Tumakuru,Matched,,Yes
MS/2506/01201,2025-06-05,29DDDDE4444D1Z1,CarePlus Pharma,29,B2B,PO/2506/1602,Surgical Mask Pack,6307,pack,32,132,4224.0,5,105.6,105.6,0.0,4435.2,Cash,Mangaluru,Matched,,Yes
MS/2512/01202,2025-12-27,29LLLLM0000L1Z0,Nova Medical Agency,29,B2B,PO/2512/7489,Thermometer,9025,piece,1,280,280.0,12,16.8,16.8,0.0,313.6,UPI,Hubli,Matched,,Yes
MS/2510/01203,2025-10-19,32KKKKK9999K1Z9,VitalCare Enterprises,32,B2B,PO/2510/4174,Face Shield,3926,piece,6,231,1386.0,18,0.0,0.0,249.48,1635.48,Credit,Tumakuru,Matched,,Yes
MS/2512/01204,2025-12-16,29LLLLM0000L1Z0,Nova Medical Agency,29,B2B,PO/2512/3101,Multivitamin Capsules,2106,bottle,6,143,858.0,18,77.22,77.22,0.0,1012.44,UPI,Mysuru,Matched,,Yes
MS/2505/01205,2025-05-13,29LLLLM0000L1Z0,Nova Medical Agency,29,B2B,PO/2505/4143,Surgical Mask Pack,6307,pack,34,110,3740.0,5,93.5,93.5,0.0,3927.0,UPI,Tumakuru,Matched,,Yes
MS/2512/01206,2025-12-14,32KKKKK9999K1Z9,VitalCare Enterprises,32,B2B,PO/2512/8437,Disposable Gloves,4015,box,17,468,7956.0,12,0.0,0.0,954.72,8910.72,UPI,Mangaluru,Matched,,Yes
MS/2511/01207,2025-11-25,29AABCA1111A1Z5,Apex Pharma Distributors,29,B2B,PO/2511/7666,Insulin Pen Needle,9018,box,28,632,17696.0,12,1061.76,1061.76,0.0,19819.52,Cash,Bangalore,Matched,,Yes
MS/2512/01208,2025-12-15,32KKKKK9999K1Z9,VitalCare Enterprises,32,B2B,PO/2512/9474,Gauze Bandage,3005,pack,32,81,2592.0,5,0.0,0.0,129.6,2721.6,UPI,Tumakuru,Matched,,Yes
MS/2504/01209,2025-04-25,29AABCA1111A1Z5,Apex Pharma Distributors,29,B2B,PO/2504/8354,Hand Sanitizer 500ml,3808,bottle,14,226,3164.0,18,284.76,284.76,0.0,3733.52,Cash,Bangalore,Matched,,Yes
MS/2507/01210,2025-07-20,29DDDDE4444D1Z1,CarePlus Pharma,29,B2B,PO/2507/1415,Insulin Pen Needle,9018,box,6,650,3900.0,12,234.0,234.0,0.0,4368.0,NEFT,Tumakuru,Matched,,Yes
MS/2508/01211,2025-08-05,27BBBCD2222B1Z7,MediCare Wholesale,27,B2B,PO/2508/6394,Surgical Mask Pack,6307,pack,13,82,1066.0,5,0.0,0.0,53.3,1119.3,Cash,Bangalore,Matched,,Yes
MS/2511/01212,2025-11-17,27BBBCD2222B1Z7,MediCare Wholesale,27,B2B,PO/2511/1393,Paracetamol 500mg,3004,box,31,190,5890.0,12,0.0,0.0,706.8,6596.8,Credit,Tumakuru,Matched,,Yes
MS/2506/01213,2025-06-21,07EEEFF5555E1Z8,LifeAid Traders,07,B2B,PO/2506/4905,Surgical Mask Pack,6307,pack,7,161,1127.0,5,0.0,0.0,56.35,1183.35,Cash,Bangalore,Matched,,Yes
MS/2506/01214,2025-06-20,32KKKKK9999K1Z9,VitalCare Enterprises,32,B2B,PO/2506/2567,Surgical Mask Pack,6307,pack,5,152,760.0,5,0.0,0.0,38.0,798.0,Card,Belagavi,Matched,,Yes
MS/2503/01215,2025-03-05,27BBBCD2222B1Z7,MediCare Wholesale,27,B2B,PO/2503/6132,Ibuprofen 400mg,3004,box,3,186,558.0,12,0.0,0.0,66.96,624.96,UPI,Mysuru,Matched,,Yes
MS/2502/01216,2025-02-01,29IIIJJ8888I1Z3,Prime Pharma Hub,29,B2B,PO/2502/8075,Ibuprofen 400mg,3004,box,20,246,4920.0,12,295.2,295.2,0.0,5510.4,UPI,Bangalore,Matched,,Yes
MS/2512/01217,2025-12-13,29AABCA1111A1Z5,Apex Pharma Distributors,29,B2B,PO/2512/7249,Calcium Tablets,3004,box,4,150,600.0,12,36.0,36.0,0.0,672.0,Card,Bangalore,Matched,,Yes
MS/2511/01218,2025-11-13,27HHHHH7777H1Z6,Sanjeevani Distributors,27,B2B,PO/2511/8428,Surgical Mask Pack,6307,pack,39,42,1638.0,5,0.0,0.0,81.9,1719.9,Card,Mangaluru,Matched,,Yes
MS/2508/01219,2025-08-08,29LLLLM0000L1Z0,Nova Medical Agency,29,B2B,PO/2508/1425,Disposable Gloves,4015,box,7,293,2051.0,12,123.06,123.06,0.0,2297.12,Card,Belagavi,Matched,,Yes
MS/2506/01220,2025-06-18,29LLLLM0000L1Z0,Nova Medical Agency,29,B2B,PO/2506/1201,Thermometer,9025,piece,7,232,1624.0,12,97.44,97.44,0.0,1818.88,Credit,Tumakuru,Matched,,Yes
MS/2502/01221,2025-02-04,29LLLLM0000L1Z0,Nova Medical Agency,29,B2B,PO/2502/9337,Thermometer,9025,piece,37,244,9028.0,12,541.68,541.68,0.0,10111.36,Cash,Hubli,Matched,,Yes
MS/2508/01222,2025-08-04,29IIIJJ8888I1Z3,Prime Pharma Hub,29,B2B,PO/2508/4983,Disposable Gloves,4015,box,29,215,6235.0,12,374.1,374.1,0.0,6983.2,NEFT,Bangalore,Matched,,Yes
MS/2501/01223,2025-01-31,33CCCCC3333C1Z2,HealthLine Supplies,33,B2B,PO/2501/9407,Glucose Strips,3822,box,38,696,26448.0,12,0.0,0.0,3173.76,29621.76,Cash,Hubli,Matched,,Yes
MS/2510/01224,2025-10-26,32KKKKK9999K1Z9,VitalCare Enterprises,32,B2B,PO/2510/6057,ORS Sachet,3004,pack,10,80,800.0,5,0.0,0.0,40.0,840.0,Credit,Hubli,Matched,,Yes
MS/2505/01225,2025-05-30,24GGGGG6666G1Z4,Wellness Medicos,24,B2B,PO/2505/3369,Paracetamol 500mg,3004,box,34,230,7820.0,12,0.0,0.0,938.4,8758.4,UPI,Mysuru,Matched,,Yes
MS/2509/01226,2025-09-17,32KKKKK9999K1Z9,VitalCare Enterprises,32,B2B,PO/2509/4201,Ibuprofen 400mg,3004,box,28,178,4984.0,12,0.0,0.0,598.08,5582.08,NEFT,Tumakuru,Matched,,Yes
MS/2504/01227,2025-04-14,27BBBCD2222B1Z7,MediCare Wholesale,27,B2B,PO/2504/8794,Insulin Pen Needle,9018,box,13,541,7033.0,12,0.0,0.0,843.96,7876.96,Card,Belagavi,Matched,,Yes
MS/2512/01228,2025-12-21,24GGGGG6666G1Z4,Wellness Medicos,24,B2B,PO/2512/5909,Multivitamin Capsules,2106,bottle,19,281,5339.0,18,0.0,0.0,961.02,6300.02,Card,Hubli,Matched,,Yes
MS/2503/01229,2025-03-25,27BBBCD2222B1Z7,MediCare Wholesale,27,B2B,PO/2503/4594,Gauze Bandage,3005,pack,3,98,294.0,5,0.0,0.0,14.7,308.7,UPI,Tumakuru,Matched,,Yes
MS/2504/01230,2025-04-25,29DDDDE4444D1Z1,CarePlus Pharma,29,B2B,PO/2504/4916,Gauze Bandage,3005,pack,40,62,2480.0,5,62.0,62.0,0.0,2604.0,Card,Tumakuru,Matched,,Yes
MS/2506/01231,2025-06-19,27HHHHH7777H1Z6,Sanjeevani Distributors,27,B2B,PO/2506/1110,Thermometer,9025,piece,26,274,7124.0,12,0.0,0.0,854.88,7978.88,Cash,Bangalore,Matched,,Yes
MS/2502/01232,2025-02-07,24GGGGG6666G1Z4,Wellness Medicos,24,B2B,PO/2502/3333,Paracetamol 500mg,3004,box,36,109,3924.0,12,0.0,0.0,470.88,4394.88,Cash,Mangaluru,Matched,,Yes
MS/2504/01233,2025-04-10,29LLLLM0000L1Z0,Nova Medical Agency,29,B2B,PO/2504/4262,Antacid Suspension,3004,bottle,3,77,231.0,12,13.86,13.86,0.0,258.72,NEFT,Hubli,Matched,,Yes
MS/2503/01234,2025-03-31,29DDDDE4444D1Z1,CarePlus Pharma,29,B2B,PO/2503/5029,Hand Sanitizer 500ml,3808,bottle,6,176,1056.0,18,95.04,95.04,0.0,1246.08,NEFT,Mysuru,Matched,,Yes
MS/2501/01235,2025-01-12,33CCCCC3333C1Z2,HealthLine Supplies,33,B2B,PO/2501/3248,Hand Sanitizer 500ml,3808,bottle,4,95,380.0,18,0.0,0.0,68.4,448.4,Card,Tumakuru,Matched,,Yes
MS/2502/01236,2025-02-26,24GGGGG6666G1Z4,Wellness Medicos,24,B2B,PO/2502/4934,Thermometer,9025,piece,20,413,8260.0,12,0.0,0.0,991.2,9251.2,Cash,Hubli,Matched,,Yes
MS/2512/01237,2025-12-05,33CCCCC3333C1Z2,HealthLine Supplies,33,B2B,PO/2512/2071,Pulse Oximeter,9018,piece,40,1788,71520.0,12,0.0,0.0,8582.4,80102.4,UPI,Mysuru,Matched,,Yes
MS/2503/01238,2025-03-08,29DDDDE4444D1Z1,CarePlus Pharma,29,B2B,PO/2503/7131,Thermometer,9025,piece,35,373,13055.0,12,783.3,783.3,0.0,14621.6,Cash,Belagavi,Matched,,Yes
MS/2508/01239,2025-08-08,29DDDDE4444D1Z1,CarePlus Pharma,29,B2B,PO/2508/4098,Ibuprofen 400mg,3004,box,49,247,12103.0,12,726.18,726.18,0.0,13555.36,Credit,Hubli,Matched,,Yes
MS/2503/01240,2025-03-18,24GGGGG6666G1Z4,Wellness Medicos,24,B2B,PO/2503/3071,Surgical Mask Pack,6307,pack,4,111,444.0,5,0.0,0.0,22.2,466.2,Credit,Belagavi,Matched,,Yes
MS/2509/01241,2025-09-08,29DDDDE4444D1Z1,CarePlus Pharma,29,B2B,PO/2509/3743,Amoxicillin 500mg,3004,box,31,153,4743.0,12,284.58,284.58,0.0,5312.16,Credit,Mangaluru,Matched,,Yes
MS/2511/01242,2025-11-27,32KKKKK9999K1Z9,VitalCare Enterprises,32,B2B,PO/2511/8606,Antacid Suspension,3004,bottle,32,202,6464.0,12,0.0,0.0,775.68,7239.68,NEFT,Hubli,Matched,,Yes
MS/2512/01243,2025-12-31,24GGGGG6666G1Z4,Wellness Medicos,24,B2B,PO/2512/9106,Pulse Oximeter,9018,piece,45,1889,85005.0,12,0.0,0.0,10200.6,95205.6,Card,Hubli,Matched,,Yes
MS/2510/01244,2025-10-25,27HHHHH7777H1Z6,Sanjeevani Distributors,27,B2B,PO/2510/4596,Multivitamin Capsules,2106,bottle,2,216,432.0,18,0.0,0.0,77.76,509.76,NEFT,Mangaluru,Matched,,Yes
MS/2505/01245,2025-05-01,27HHHHH7777H1Z6,Sanjeevani Distributors,27,B2B,PO/2505/7178,Thermometer,9025,piece,20,397,7940.0,12,0.0,0.0,952.8,8892.8,Credit,Mysuru,Matched,,Yes
MS/2507/01246,2025-07-11,07EEEFF5555E1Z8,LifeAid Traders,07,B2B,PO/2507/2376,Calcium Tablets,3004,box,6,109,654.0,12,0.0,0.0,78.48,732.48,Cash,Mangaluru,Matched,,Yes
MS/2509/01247,2025-09-23,24GGGGG6666G1Z4,Wellness Medicos,24,B2B,PO/2509/8622,Surgical Mask Pack,6307,pack,38,50,1900.0,5,0.0,0.0,95.0,1995.0,Credit,Belagavi,Matched,,Yes
MS/2506/01248,2025-06-22,27HHHHH7777H1Z6,Sanjeevani Distributors,27,B2B,PO/2506/7700,Gauze Bandage,3005,pack,30,90,2700.0,5,0.0,0.0,135.0,2835.0,Cash,Mangaluru,Matched,,Yes
MS/2506/01249,2025-06-12,07EEEFF5555E1Z8,LifeAid Traders,07,B2B,PO/2506/8236,Cough Syrup,3004,bottle,2,130,260.0,12,0.0,0.0,31.2,291.2,NEFT,Hubli,Matched,,Yes
MS/2511/01250,2025-11-27,27BBBCD2222B1Z7,MediCare Wholesale,27,B2B,PO/2511/9220,Antacid Suspension,3004,bottle,6,145,870.0,12,0.0,0.0,104.4,974.4,Credit,Belagavi,Matched,,Yes
MS/2511/01251,2025-11-26,27BBBCD2222B1Z7,MediCare Wholesale,27,B2B,PO/2511/2942,Hand Sanitizer 500ml,3808,bottle,8,115,920.0,18,0.0,0.0,165.6,1085.6,UPI,Hubli,Matched,,Yes
MS/2501/01252,2025-01-20,32KKKKK9999K1Z9,VitalCare Enterprises,32,B2B,PO/2501/6394,Thermometer,9025,piece,22,280,6160.0,12,0.0,0.0,739.2,6899.2,Cash,Hubli,Matched,,Yes
MS/2512/01253,2025-12-16,07EEEFF5555E1Z8,LifeAid Traders,07,B2B,PO/2512/3258,Thermometer,9025,piece,46,489,22494.0,12,0.0,0.0,2699.28,25193.28,Credit,Hubli,Matched,,Yes
MS/2501/01254,2025-01-05,07EEEFF5555E1Z8,LifeAid Traders,07,B2B,PO/2501/7647,Glucose Strips,3822,box,23,663,15249.0,12,0.0,0.0,1829.88,17078.88,Credit,Tumakuru,Matched,,Yes
MS/2501/01255,2025-01-07,29IIIJJ8888I1Z3,Prime Pharma Hub,29,B2B,PO/2501/7512,Pulse Oximeter,9018,piece,49,1205,59045.0,12,3542.7,3542.7,0.0,66130.4,NEFT,Mysuru,Matched,,Yes
MS/2504/01256,2025-04-18,29IIIJJ8888I1Z3,Prime Pharma Hub,29,B2B,PO/2504/8559,Surgical Mask Pack,6307,pack,34,159,5406.0,5,135.15,135.15,0.0,5676.3,Cash,Bangalore,Matched,,Yes
MS/2506/01257,2025-06-10,29DDDDE4444D1Z1,CarePlus Pharma,29,B2B,PO/2506/7843,Cotton Roll,3005,pack,50,119,5950.0,5,148.75,148.75,0.0,6247.5,NEFT,Mangaluru,Matched,,Yes
MS/2508/01258,2025-08-19,32KKKKK9999K1Z9,VitalCare Enterprises,32,B2B,PO/2508/3102,Paracetamol 500mg,3004,box,24,115,2898.0,12,0.0,0.0,331.2,2936.64,Cash,Tumakuru,Mismatch,Taxable / total amount mismatch,Yes
MS/2501/01259,2025-01-05,29IIIJJ8888I1Z3,Prime Pharma Hub,29,B2B,PO/2501/7867,Antacid Suspension,3004,bottle,22,127,2794.0,12,167.64,167.64,0.0,3129.28,Card,Tumakuru,Matched,,Yes
MS/2507/01260,2025-07-26,32KKKKK9999K1Z9,VitalCare Enterprises,32,B2B,PO/2507/1380,Glucose Strips,3822,box,21,851,17871.0,12,0.0,0.0,2144.52,20015.52,Credit,Bangalore,Matched,,Yes
MS/2503/01261,2025-03-13,33CCCCC3333C1Z2,HealthLine Supplies,33,B2B,PO/2503/7404,Insulin Pen Needle,9018,box,37,522,19314.0,12,0.0,0.0,2317.68,21631.68,Card,Mysuru,Matched,,Yes
MS/2507/01262,2025-07-20,27BBBCD2222B1Z7,MediCare Wholesale,27,B2B,PO/2507/8778,Calcium Tablets,3004,box,25,123,3075.0,12,0.0,0.0,369.0,3444.0,UPI,Hubli,Matched,,Yes
MS/2510/01263,2025-10-19,29IIIJJ8888I1Z3,Prime Pharma Hub,29,B2B,PO/2510/2709,Glucose Strips,3822,box,6,425,2550.0,12,153.0,153.0,0.0,2856.0,Credit,Mysuru,Matched,,Yes
MS/2501/01264,2025-01-17,29LLLLM0000L1Z0,Nova Medical Agency,29,B2B,PO/2501/4260,Face Shield,3926,piece,1,137,137.0,18,12.33,12.33,0.0,161.66,UPI,Mangaluru,Matched,,Yes
MS/2505/01265,2025-05-26,29DDDDE4444D1Z1,CarePlus Pharma,29,B2B,PO/2505/2146,Surgical Mask Pack,6307,pack,19,174,3306.0,5,82.65,82.65,0.0,3471.3,Card,Bangalore,Matched,,Yes
MS/2507/01266,2025-07-08,32KKKKK9999K1Z9,VitalCare Enterprises,32,B2B,PO/2507/7731,Paracetamol 500mg,3004,box,11,163,1793.0,12,0.0,0.0,215.16,2008.16,Card,Mysuru,Matched,,Yes
MS/2502/01267,2025-02-26,33CCCCC3333C1Z2,HealthLine Supplies,33,B2B,PO/2502/2126,Calcium Tablets,3004,box,27,197,5053.05,12,0.0,0.0,638.28,5659.42,Card,Mysuru,Mismatch,Taxable / total amount mismatch,Yes
MS/2503/01268,2025-03-08,29DDDDE4444D1Z1,CarePlus Pharma,29,B2B,PO/2503/3601,Glucose Strips,3822,box,28,736,20608.0,12,1236.48,1236.48,0.0,23080.96,Credit,Belagavi,Matched,,Yes
MS/2506/01269,2025-06-08,29LLLLM0000L1Z0,Nova Medical Agency,29,B2B,PO/2506/8519,Thermometer,9025,piece,33,546,18018.0,12,1081.08,1081.08,0.0,20180.16,Cash,Mysuru,Matched,,Yes
MS/2501/01270,2025-01-04,33CCCCC3333C1Z2,HealthLine Supplies,33,B2B,PO/2501/7541,Gauze Bandage,3005,pack,5,140,700.0,5,0.0,0.0,35.0,735.0,Credit,Mysuru,Matched,,Yes
MS/2509/01271,2025-09-27,24GGGGG6666G1Z4,Wellness Medicos,24,B2B,PO/2509/8580,Multivitamin Capsules,2106,bottle,16,345,5520.0,18,0.0,0.0,993.6,6513.6,Credit,Bangalore,Matched,,Yes
MS/2502/01272,2025-02-16,07EEEFF5555E1Z8,LifeAid Traders,07,B2B,PO/2502/5873,Gauze Bandage,3005,pack,23,124,2852.0,5,0.0,0.0,142.6,2994.6,Card,Belagavi,Matched,,Yes
MS/2503/01273,2025-03-31,27HHHHH7777H1Z6,Sanjeevani Distributors,27,B2B,PO/2503/8501,Surgical Mask Pack,6307,pack,12,150,1800.0,5,0.0,0.0,90.0,1890.0,Card,Tumakuru,Matched,,Yes
MS/2504/01274,2025-04-04,29LLLLM0000L1Z0,Nova Medical Agency,29,B2B,PO/2504/1715,Vitamin C Tablets,2106,bottle,13,238,3094.0,18,278.46,278.46,0.0,3650.92,NEFT,Mysuru,Matched,,Yes
MS/2505/01275,2025-05-21,32KKKKK9999K1Z9,VitalCare Enterprises,32,B2B,PO/2505/4559,Glucose Strips,3822,box,43,318,13674.0,12,0.0,0.0,1640.88,15314.88,Card,Mangaluru,Matched,,Yes
MS/2510/01276,2025-10-11,27BBBCD2222B1Z7,MediCare Wholesale,27,B2B,PO/2510/9264,Antacid Suspension,3004,bottle,5,96,480.0,12,0.0,0.0,57.6,537.6,Cash,Mangaluru,Matched,,Yes
MS/2508/01277,2025-08-19,33CCCCC3333C1Z2,HealthLine Supplies,33,B2B,PO/2508/1731,Hand Sanitizer 500ml,3808,bottle,7,219,1533.0,18,0.0,0.0,275.94,1808.94,Card,Bangalore,Matched,,Yes
MS/2502/01278,2025-02-07,29IIIJJ8888I1Z3,Prime Pharma Hub,29,B2B,PO/2502/7542,Cough Syrup,3004,bottle,22,275,6050.0,12,363.0,363.0,0.0,6776.0,NEFT,Mangaluru,Matched,,Yes
MS/2501/01279,2025-01-20,29AABCA1111A1Z5,Apex Pharma Distributors,29,B2B,PO/2501/3236,Hand Sanitizer 500ml,3808,bottle,4,271,1084.0,18,97.56,97.56,0.0,1279.12,Cash,Tumakuru,Matched,,Yes
MS/2508/01280,2025-08-26,29IIIJJ8888I1Z3,Prime Pharma Hub,29,B2B,PO/2508/9985,Gauze Bandage,3005,pack,5,45,225.0,5,5.63,5.63,0.0,236.25,NEFT,Tumakuru,Matched,,Yes
MS/2508/01281,2025-08-13,33CCCCC3333C1Z2,HealthLine Supplies,33,B2B,PO/2508/3794,Face Shield,3926,piece,9,131,1179.0,18,0.0,0.0,212.22,1391.22,UPI,Belagavi,Matched,,Yes
MS/2502/01282,2025-02-21,33CCCCC3333C1Z2,HealthLine Supplies,33,B2B,PO/2502/7403,Glucose Strips,3822,box,8,797,6376.0,12,0.0,0.0,765.12,7141.12,NEFT,Bangalore,Matched,,Yes
MS/2512/01283,2025-12-10,29AABCA1111A1Z5,Apex Pharma Distributors,29,B2B,PO/2512/6866,Hand Sanitizer 500ml,3808,bottle,5,202,1010.0,18,90.9,90.9,0.0,1191.8,NEFT,Mysuru,Matched,,Yes
MS/2501/01284,2025-01-18,32KKKKK9999K1Z9,VitalCare Enterprises,32,B2B,PO/2501/1782,Thermometer,9025,piece,29,536,15544.0,12,0.0,0.0,1865.28,17409.28,Credit,Tumakuru,Matched,,Yes
MS/2512/01285,2025-12-06,27BBBCD2222B1Z7,MediCare Wholesale,27,B2B,PO/2512/8274,Cough Syrup,3004,bottle,45,163,7335.0,12,0.0,0.0,880.2,8215.2,UPI,Belagavi,Matched,,Yes
MS/2501/01286,2025-01-03,29AABCA1111A1Z5,Apex Pharma Distributors,29,B2B,PO/2501/5091,Cough Syrup,3004,bottle,50,136,6800.0,12,408.0,408.0,0.0,7616.0,Cash,Mysuru,Matched,,Yes
MS/2504/01287,2025-04-13,27BBBCD2222B1Z7,MediCare Wholesale,27,B2B,PO/2504/1238,Paracetamol 500mg,3004,box,27,87,2349.0,12,0.0,0.0,281.88,2630.88,Cash,Mysuru,Matched,,Yes
MS/2512/01288,2025-12-15,27BBBCD2222B1Z7,MediCare Wholesale,27,B2B,PO/2512/3736,Surgical Mask Pack,6307,pack,7,82,574.0,5,0.0,0.0,28.7,602.7,UPI,Mangaluru,Matched,,Yes
MS/2509/01289,2025-09-20,27BBBCD2222B1Z7,MediCare Wholesale,27,B2B,PO/2509/4105,Insulin Pen Needle,9018,box,21,487,10227.0,12,0.0,0.0,1227.24,11454.24,Credit,Mysuru,Matched,,Yes
MS/2510/01290,2025-10-05,27HHHHH7777H1Z6,Sanjeevani Distributors,27,B2B,PO/2510/4502,Cotton Roll,3005,pack,8,59,472.0,5,0.0,0.0,23.6,495.6,UPI,Hubli,Matched,,Yes
MS/2506/01291,2025-06-15,33CCCCC3333C1Z2,HealthLine Supplies,33,B2B,PO/2506/6181,Paracetamol 500mg,3004,box,26,247,6422.0,12,0.0,0.0,770.64,7192.64,UPI,Mangaluru,Matched,,Yes
MS/2504/01292,2025-04-19,29IIIJJ8888I1Z3,Prime Pharma Hub,29,B2B,PO/2504/7045,Surgical Mask Pack,6307,pack,5,111,555.0,5,13.88,13.88,0.0,582.75,UPI,Bangalore,Matched,,Yes
MS/2504/01293,2025-04-22,27HHHHH7777H1Z6,Sanjeevani Distributors,27,B2B,PO/2504/9185,Glucose Strips,3822,box,50,863,43150.0,12,0.0,0.0,5178.0,48328.0,UPI,Tumakuru,Matched,,Yes
MS/2510/01294,2025-10-02,29LLLLM0000L1Z0,Nova Medical Agency,29,B2B,PO/2510/6314,Blood Pressure Monitor,9018,piece,17,1394,23698.0,12,1421.88,1421.88,0.0,26541.76,Card,Tumakuru,Matched,,Yes
MS/2512/01295,2025-12-22,33CCCCC3333C1Z2,HealthLine Supplies,33,B2B,PO/2512/6209,Insulin Pen Needle,9018,box,12,525,6300.0,12,0.0,0.0,756.0,7056.0,Card,Bangalore,Matched,,Yes
MS/2506/01296,2025-06-21,29AABCA1111A1Z5,Apex Pharma Distributors,29,B2B,PO/2506/7264,Disposable Gloves,4015,box,38,349,13262.0,12,795.72,795.72,0.0,14853.44,Credit,Tumakuru,Matched,,Yes
MS/2504/01297,2025-04-30,32KKKKK9999K1Z9,VitalCare Enterprises,32,B2B,PO/2504/1347,Multivitamin Capsules,2106,bottle,1,229,229.0,18,0.0,0.0,41.22,270.22,Credit,Bangalore,Matched,,Yes
MS/2506/01298,2025-06-08,29DDDDE4444D1Z1,CarePlus Pharma,29,B2B,PO/2506/2300,Cotton Roll,3005,pack,49,61,2989.0,5,74.73,74.73,0.0,3138.45,UPI,Mysuru,Matched,,Yes
MS/2507/01299,2025-07-11,29IIIJJ8888I1Z3,Prime Pharma Hub,29,B2B,PO/2507/7156,Glucose Strips,3822,box,13,405,5265.0,12,315.9,315.9,0.0,5896.8,NEFT,Tumakuru,Matched,,Yes
MS/2501/01300,2025-01-20,29DDDDE4444D1Z1,CarePlus Pharma,29,B2B,PO/2501/6385,Disposable Gloves,4015,box,29,498,14442.0,12,866.52,866.52,0.0,16175.04,NEFT,Hubli,Matched,,Yes
MS/2506/01301,2025-06-12,29AABCA1111A1Z5,Apex Pharma Distributors,29,B2B,PO/2506/1388,Pulse Oximeter,9018,piece,27,1490,40230.0,12,2413.8,2413.8,0.0,45057.6,NEFT,Tumakuru,Matched,,Yes
MS/2506/01302,2025-06-19,24GGGGG6666G1Z4,Wellness Medicos,24,B2B,PO/2506/1885,Surgical Mask Pack,6307,pack,14,178,2367.4,5,0.0,0.0,124.6,2485.77,NEFT,Tumakuru,Mismatch,Taxable / total amount mismatch,Yes
MS/2512/01303,2025-12-23,29DDDDE4444D1Z1,CarePlus Pharma,29,B2B,PO/2512/6269,Disposable Gloves,4015,box,25,386,9650.0,12,579.0,579.0,0.0,10808.0,NEFT,Mangaluru,Matched,,Yes
